"User_City"|"User_State"|"User_MSA"|"User_Type"|"Request_ID"|"Request_Time"|"Form_Name"|"Drug_Name"|"MonthPart"|"territory"|"district_number"
"Aberdeen"|"NC"|"No MSA"|"Pharmacy"|"6KYJK6"|2014-01-13 00:00:00|"PriorAuthorization Form #158"|"DrugX"|2014-01-01 00:00:00|"1836"|"1830"
"Aberdeen"|"NC"|"No MSA"|"Pharmacy"|"6TGUT6"|2013-10-18 00:00:00|"PriorAuthorization Form #158"|"DrugX"|2013-10-01 00:00:00|"1836"|"1830"
"Aberdeen"|"SD"|"No MSA"|"Pharmacy"|"KPGB6K"|2014-01-15 00:00:00|"PriorAuthorization Form #85"|"DrugX"|2014-01-01 00:00:00|"1917"|"1910"
"Aberdeen"|"SD"|"No MSA"|"Pharmacy"|"BPWK6B"|2013-12-10 00:00:00|"PriorAuthorization Form #85"|"DrugX"|2013-12-01 00:00:00|"1917"|"1910"
"Aberdeen"|"SD"|"No MSA"|"Pharmacy"|"F9X3GF"|2014-03-24 00:00:00|"PriorAuthorization Form #163"|"DrugX"|2014-03-01 00:00:00|"1917"|"1910"
"Abingdon"|"MD"|"Baltimore, MD"|"Pharmacy"|"2WCAW2"|2014-01-17 00:00:00|"PriorAuthorization Form #107"|"DrugX"|2014-01-01 00:00:00|"1831"|"1830"
"Abington"|"PA"|"Philadelphia, PA-NJ"|"Pharmacy"|"2MYMM2"|2014-02-19 00:00:00|"PriorAuthorization Form #107"|"DrugX"|2014-02-01 00:00:00|"1825"|"1820"
"Abington"|"PA"|"Philadelphia, PA-NJ"|"Pharmacy"|"2FKVF2"|2014-02-10 00:00:00|"PriorAuthorization Form #107"|"DrugX"|2014-02-01 00:00:00|"1825"|"1820"
"Abington"|"PA"|"Philadelphia, PA-NJ"|"Pharmacy"|"4WCFW4"|2013-11-13 00:00:00|"PriorAuthorization Form #107"|"DrugX"|2013-11-01 00:00:00|"1825"|"1820"
"Abington"|"PA"|"Philadelphia, PA-NJ"|"Pharmacy"|"6KYLK6"|2013-08-26 00:00:00|"PriorAuthorization Form #107"|"DrugX"|2013-08-01 00:00:00|"1825"|"1820"
"Abington"|"PA"|"Philadelphia, PA-NJ"|"Pharmacy"|"7RVWR7"|2014-03-05 00:00:00|"PriorAuthorization Form #107"|"DrugX"|2014-03-01 00:00:00|"1825"|"1820"
"Abington"|"PA"|"Philadelphia, PA-NJ"|"Pharmacy"|"UY4XYU"|2014-03-21 00:00:00|"PriorAuthorization Form #107"|"DrugX"|2014-03-01 00:00:00|"1825"|"1820"
"Abington"|"PA"|"Philadelphia, PA-NJ"|"Pharmacy"|"YT7RTY"|2014-03-19 00:00:00|"PriorAuthorization Form #107"|"DrugX"|2014-03-01 00:00:00|"1825"|"1820"
"Acworth"|"GA"|"Atlanta,GA"|"Pharmacy"|"4UELU4"|2013-12-10 00:00:00|"PriorAuthorization Form #281"|"DrugX"|2013-12-01 00:00:00|"1843"|"1840"
"Acworth"|"GA"|"Atlanta,GA"|"Pharmacy"|"6EWRE6"|2013-09-10 00:00:00|"PriorAuthorization Form #107"|"DrugX"|2013-09-01 00:00:00|"1843"|"1840"
"Acworth"|"GA"|"Atlanta,GA"|"Pharmacy"|"6CWWC6"|2013-07-19 00:00:00|"PriorAuthorization Form #164"|"DrugX"|2013-07-01 00:00:00|"1843"|"1840"
"Acworth"|"GA"|"Atlanta,GA"|"Pharmacy"|"9NKAN9"|2013-09-26 00:00:00|"PriorAuthorization Form #274"|"DrugX"|2013-09-01 00:00:00|"1843"|"1840"
"Acworth"|"GA"|"Atlanta,GA"|"Pharmacy"|"9PEYP9"|2014-03-06 00:00:00|"PriorAuthorization Form #124"|"DrugX"|2014-03-01 00:00:00|"1843"|"1840"
"Ada"|"OK"|"No MSA"|"Physician"|"LARE2L"|2013-09-25 00:00:00|"PriorAuthorization Form #97"|"DrugX"|2013-09-01 00:00:00|"1922"|"1920"
"Ada"|"OK"|"No MSA"|"Physician"|"DPQV7D"|2013-09-19 00:00:00|"PriorAuthorization Form #274"|"DrugX"|2013-09-01 00:00:00|"1922"|"1920"
"Adamsville"|"AL"|"Birmingham, AL"|"Pharmacy"|"6YMJY6"|2013-09-26 00:00:00|"PriorAuthorization Form #150"|"DrugX"|2013-09-01 00:00:00|"1845"|"1840"
"Adamsville"|"AL"|"Birmingham, AL"|"Pharmacy"|"6TCNT6"|2013-09-18 00:00:00|"PriorAuthorization Form #150"|"DrugX"|2013-09-01 00:00:00|"1845"|"1840"
"Adamsville"|"AL"|"Birmingham, AL"|"Pharmacy"|"9FXJF9"|2013-07-30 00:00:00|"PriorAuthorization Form #150"|"DrugX"|2013-07-01 00:00:00|"1845"|"1840"
"Adamsville"|"AL"|"Birmingham, AL"|"Pharmacy"|"9CGMC9"|2013-12-04 00:00:00|"PriorAuthorization Form #86"|"DrugX"|2013-12-01 00:00:00|"1845"|"1840"
"Addison"|"IL"|"Chicago, IL"|"Pharmacy"|"YLWU6Y"|2013-08-24 00:00:00|"PriorAuthorization Form #165"|"DrugX"|2013-08-01 00:00:00|"1913"|"1910"
"Addison"|"IL"|"Chicago, IL"|"Pharmacy"|"KEAQ7K"|2014-02-06 00:00:00|"PriorAuthorization Form #205"|"DrugX"|2014-02-01 00:00:00|"1913"|"1910"
"Addison"|"IL"|"Chicago, IL"|"Pharmacy"|"QGAR7Q"|2014-02-04 00:00:00|"PriorAuthorization Form #71"|"DrugX"|2014-02-01 00:00:00|"1913"|"1910"
"Addison"|"IL"|"Chicago, IL"|"Pharmacy"|"RJAE9R"|2013-07-19 00:00:00|"PriorAuthorization Form #98"|"DrugX"|2013-07-01 00:00:00|"1913"|"1910"
"Addison"|"IL"|"Chicago, IL"|"Pharmacy"|"CRVX9C"|2014-03-05 00:00:00|"PriorAuthorization Form #71"|"DrugX"|2014-03-01 00:00:00|"1913"|"1910"
"Advance"|"NC"|"Greensboro--Winston-Salem--High Point, NC"|"Pharmacy"|"2WQTW2"|2013-11-27 00:00:00|"PriorAuthorization Form #274"|"DrugX"|2013-11-01 00:00:00|"1837"|"1830"
"Advance"|"NC"|"Greensboro--Winston-Salem--High Point, NC"|"Pharmacy"|"3BPRB3"|2013-08-09 00:00:00|"PriorAuthorization Form #158"|"DrugX"|2013-08-01 00:00:00|"1837"|"1830"
"Advance"|"NC"|"Greensboro--Winston-Salem--High Point, NC"|"Pharmacy"|"3JHVJ3"|2013-11-11 00:00:00|"PriorAuthorization Form #274"|"DrugX"|2013-11-01 00:00:00|"1837"|"1830"
"Advance"|"NC"|"Greensboro--Winston-Salem--High Point, NC"|"Pharmacy"|"6RTDR6"|2013-10-16 00:00:00|"PriorAuthorization Form #158"|"DrugX"|2013-10-01 00:00:00|"1837"|"1830"
"Advance"|"NC"|"Greensboro--Winston-Salem--High Point, NC"|"Physician"|"2YEQY2"|2013-09-12 00:00:00|"PriorAuthorization Form #158"|"DrugX"|2013-09-01 00:00:00|"1837"|"1830"
"Advance"|"NC"|"Greensboro--Winston-Salem--High Point, NC"|"Physician"|"3CVGC3"|2013-12-31 00:00:00|"PriorAuthorization Form #71"|"DrugX"|2013-12-01 00:00:00|"1837"|"1830"
"Advance"|"NC"|"Greensboro--Winston-Salem--High Point, NC"|"Physician"|"3BBHB3"|2013-07-22 00:00:00|"PriorAuthorization Form #158"|"DrugX"|2013-07-01 00:00:00|"1837"|"1830"
"Advance"|"NC"|"Greensboro--Winston-Salem--High Point, NC"|"Physician"|"4TADT4"|2013-08-21 00:00:00|"PriorAuthorization Form #107"|"DrugX"|2013-08-01 00:00:00|"1837"|"1830"
"Advance"|"NC"|"Greensboro--Winston-Salem--High Point, NC"|"Physician"|"4VVDV4"|2013-11-07 00:00:00|"PriorAuthorization Form #151"|"DrugX"|2013-11-01 00:00:00|"1837"|"1830"
"Advance"|"NC"|"Greensboro--Winston-Salem--High Point, NC"|"Physician"|"4HJEH4"|2014-01-06 00:00:00|"PriorAuthorization Form #107"|"DrugX"|2014-01-01 00:00:00|"1837"|"1830"
"Advance"|"NC"|"Greensboro--Winston-Salem--High Point, NC"|"Physician"|"4GRFG4"|2013-07-11 00:00:00|"PriorAuthorization Form #158"|"DrugX"|2013-07-01 00:00:00|"1837"|"1830"
"Advance"|"NC"|"Greensboro--Winston-Salem--High Point, NC"|"Physician"|"4VENV4"|2013-11-13 00:00:00|"PriorAuthorization Form #107"|"DrugX"|2013-11-01 00:00:00|"1837"|"1830"
"Advance"|"NC"|"Greensboro--Winston-Salem--High Point, NC"|"Physician"|"4JUQJ4"|2013-08-12 00:00:00|"PriorAuthorization Form #158"|"DrugX"|2013-08-01 00:00:00|"1837"|"1830"
"Advance"|"NC"|"Greensboro--Winston-Salem--High Point, NC"|"Physician"|"4VQRV4"|2013-07-03 00:00:00|"PriorAuthorization Form #158"|"DrugX"|2013-07-01 00:00:00|"1837"|"1830"
"Advance"|"NC"|"Greensboro--Winston-Salem--High Point, NC"|"Physician"|"6XNBX6"|2013-07-17 00:00:00|"PriorAuthorization Form #158"|"DrugX"|2013-07-01 00:00:00|"1837"|"1830"
"Advance"|"NC"|"Greensboro--Winston-Salem--High Point, NC"|"Physician"|"6JKCJ6"|2014-01-24 00:00:00|"PriorAuthorization Form #158"|"DrugX"|2014-01-01 00:00:00|"1837"|"1830"
"Advance"|"NC"|"Greensboro--Winston-Salem--High Point, NC"|"Physician"|"6VGDV6"|2014-01-08 00:00:00|"PriorAuthorization Form #107"|"DrugX"|2014-01-01 00:00:00|"1837"|"1830"
